name,display_name,kind,brier,average_precision,mean_regret_vnd,weight,weight_status,calibration,scope
CATBOOST,CATBOOST,candidate,0.17917144677037722,0.5217770625300142,50504.56334505666,0.20160195376939383,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
DECISION_TREE,DECISION TREE,candidate,0.20009021254784534,0.44909283920433946,68310.8879738179,0.0,ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
DELTA_CATBOOST,DELTA CATBOOST,candidate,0.18441026150368767,0.480090287051087,48017.18618601016,0.08767896961528171,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
HIST_GBM,HIST GBM,candidate,0.18559600677102456,0.498485555675448,57207.52641656897,2.4778101825794257e-18,ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
LINEAR_SVM,LINEAR SVM,candidate,0.18469080273969818,0.4724706654005016,49790.74356193826,0.04434426626258515,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
LOGISTIC,LOGISTIC,candidate,0.18444969639244635,0.47572347788760094,49914.69021101993,0.08150564403402069,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
MLP,MLP,candidate,0.1920399339766479,0.44866465262664623,58857.84832942556,0.01599021326202972,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
RANDOM_FOREST,RANDOM FOREST,candidate,0.18805993207991473,0.47817414162827765,61165.6261381399,4.1222220792776925e-18,ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
XGBOOST,XGBOOST,candidate,0.18150107258742662,0.5121976023778703,53612.382610394685,0.16007206458250312,NON_ZERO,FROZEN_PLATT,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
LOCKED_ENSEMBLE,Locked ensemble,ensemble,0.17626869115873278,0.5567304876110938,45374.568557053535,1.0,LOCKED,FROZEN_SYSTEM,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
HIERARCHY_BASELINE,Hierarchy baseline,baseline,0.18326652912519528,0.5209831274112432,52536.86463950762,0.17450035186631713,COMPARATOR,ROW_LEVEL_HIERARCHY,DEVELOPMENT_OOF_DESCRIPTIVE_EVIDENCE
