system,bin,count,mean_probability,observed_rate
Locked ensemble,0,5201,0.0828840302271927,0.017304364545279755
Locked ensemble,1,25481,0.151970178605897,0.06338055806287038
Locked ensemble,2,20702,0.24515339814261633,0.120229929475413
Locked ensemble,3,8919,0.339274376449997,0.20080726538849647
Locked ensemble,4,2321,0.4398264168259495,0.3076260232658337
Locked ensemble,5,434,0.5338124695801862,0.4769585253456221
Locked ensemble,6,47,0.6291626520132687,0.6382978723404256
Locked ensemble,7,4,0.7230998951779735,1.0
Hierarchy baseline,0,2664,0.09205898951266124,0.04804804804804805
Hierarchy baseline,1,25617,0.14936719520774894,0.09169692001405316
Hierarchy baseline,2,22736,0.2427914851021133,0.11783075299085151
Hierarchy baseline,3,5381,0.34437582802720174,0.11912283962088831
Hierarchy baseline,4,6310,0.44596606359944047,0.1744849445324881
Hierarchy baseline,5,401,0.5157671657694859,0.10473815461346633
