dud,rows,clusters,observed_mean_vnd,model_mean_vnd,model_ci_low_vnd,model_ci_high_vnd,baseline_mean_vnd
60,10169,5241,1469836.9519126758,1473000.6603918027,1462577.4303207244,1483493.1320384121,1475438.5350575277
45,10909,5621,1689387.164359703,1693298.232783575,1679249.7185946854,1707470.6610096218,1706232.860253002
30,11137,5761,1480060.0754242614,1469528.6926455926,1459351.269972736,1480252.4417592718,1488784.173655383
21,12253,6371,1535624.1451073207,1504966.4766945464,1493452.581631073,1515940.2097971537,1524421.2613645638
14,12331,6471,1564085.2699699944,1531409.7941580012,1519929.5029845713,1542893.5049063351,1547200.0632552104
10,12382,6518,1592921.1787271847,1564973.3670205523,1552964.1567997148,1576908.8206734485,1577599.9187126474
7,12361,6527,1647432.8400614837,1613543.0951112902,1601374.8835926452,1625706.70042517,1629187.828775989
5,12359,6496,1686223.8977263533,1655483.699835895,1642728.3314166819,1668424.9755120252,1669443.3519297678
3,12255,6516,1771218.5951040392,1728113.6311757162,1714709.5651976499,1742317.072821912,1750781.0146878825
2,12028,6449,1867601.258313934,1822608.6548038004,1807404.0973439272,1837645.8436826277,1851566.5413202527
1,11178,6488,2036530.64206477,1964678.719154796,1948515.3886141523,1980379.9137076547,2041905.1115584183
