,route,airline,session_label,departure_period,anchor_source,transition,days_until_departure,target_dud,horizon_gap_days,flight_day_of_week,flight_month,is_peak_period,departure_time_sin,departure_time_cos,log_price_vnd,current_relative_log,anchor_support_log1p,competitor_airline_count,competitor_offer_count,log_current_over_competitor_min,log_same_airline_alt_over_current,prior_market_change_pct_per_day,has_prior_market_change,relative_history_eligible,previous_relative_log,market_shift_log,relative_lag_age_hours,prior_relative_count,prior_relative_volatility,prior_relative_trend_per_dud_day
route,1.0,0.22632925422674552,0.01776536035737315,0.15199357739844518,0.07304615520382815,0.020086048140308396,0.04492125916406691,0.04438973054557691,0.0452521952963227,0.034111752655998064,0.08945870168891787,0.035792967189132746,0.1459918584048981,0.2544424502266663,0.7196664494309364,0.08755233068463245,0.9532149022060299,0.9036580521344192,0.8885278475465231,0.3329567579541293,0.19658399330178436,0.021115175483215717,0.014752666706152868,0.02430104276414556,0.09384386381168935,0.07715065961937835,0.026409075764873276,0.0426879969045697,0.32784210923008644,0.03991529281797351
airline,0.22632925422674552,1.0,0.014658273438672534,0.058617279736552716,0.016693646681117794,0.048981692852508314,0.07920095089022114,0.07849491179233664,0.0795528790137705,0.010805293971545159,0.0937118684159769,0.016657167482939314,0.0446597748610013,0.046162038189626844,0.2426947435325788,0.5082832521498215,0.15228557525004546,0.17482568178171737,0.3879076800564439,0.5581855910962401,0.18618041701484375,0.0082885331296984,0.01981825894770956,0.034090621978258864,0.5117389645686974,0.02756577670594221,0.02402430412228612,0.06382814427322252,0.21019855265989507,0.04756619715940002
session_label,0.01776536035737315,0.014658273438672534,1.0,0.01614369297148631,0.015044835208392908,0.04375914381736503,0.039027790043468256,0.03891587458630275,0.03837626383984483,0.044067763099044546,0.1646786959086421,0.06350229672330726,0.0013523019157122471,0.020514869974963656,0.041330551179926754,0.007227453908506508,0.033109068998806994,0.01486037412693972,0.014663074354398304,0.009880594466144412,0.029485436172736457,0.02881080726047251,0.07450528470241145,0.02006200385554298,0.0008846828703775589,0.18926078240244815,0.30575263229267513,0.04261842055315449,0.013752669125430128,0.00548748099300474
departure_period,0.15199357739844518,0.058617279736552716,0.01614369297148631,1.0,0.004834666070573523,0.019647607735678193,0.028221175240028817,0.027772566688299864,0.028723101696289242,0.010074208230562025,0.057043867390842516,0.010176212656276554,0.9231421855692021,0.836310961935327,0.15712231335810203,0.25652000914673717,0.12257716880840792,0.10510883423691897,0.10462882308956395,0.19589994294951366,0.25622589085180003,0.006670816304908896,0.008143370569905953,0.023453536427669373,0.25448159743588267,0.0077082106901327375,0.023280458861557295,0.02712237277656551,0.03492337932938202,0.07940626861742975
anchor_source,0.07304615520382815,0.016693646681117794,0.015044835208392908,0.004834666070573523,1.0,0.018062289440544693,0.021483409459167362,0.02121199813861851,0.021677345307346194,0.010859696368902409,0.06481468564779409,0.026032146152993228,0.0027987690419743927,0.01268337166006086,0.028958776769598658,0.0036341374270384853,0.14729188009135066,0.057892584251916894,0.04708321992424331,0.028259942134187747,0.023835940994923924,0.003650764009179632,0.13365057849792533,0.015669617614655792,0.01079678775974771,0.013185185017113956,0.006350440447676209,0.016572519501517197,0.022993903685976907,0.01390485853103011
transition,0.020086048140308396,0.048981692852508314,0.04375914381736503,0.019647607735678193,0.018062289440544693,1.0,1.0,1.0,1.0,0.08419725052630521,0.5271417923624183,0.087930560359575,0.012771778669129827,0.01713743598925174,0.05654825704222339,0.016547558045962512,0.05462060659587642,0.23807201933734098,0.03529172877060701,0.12878851073914735,0.12307856245105529,0.014114784447993576,0.08196572843791025,0.7367554940339799,0.01637859699328085,0.1340122057398679,0.6220999965363716,0.7951732946039638,0.2850948875220066,0.025341485564698063
days_until_departure,0.04492125916406691,0.07920095089022114,0.039027790043468256,0.028221175240028817,0.021483409459167362,1.0,1.0,1.0,0.9915592190775225,0.03135085431743104,0.5021161792463403,0.032986847051901746,0.012192775886556238,0.015132375784416627,0.036089892022079066,0.01690959787702279,0.06105983713653906,0.22057278286548995,0.01654357628975816,0.11494121561070167,0.1127591643983574,9.850136982160472e-05,0.02307923072417321,0.6619408054047757,0.016697610744662496,0.07624575998076721,0.33552257550607034,0.809185168565934,0.31983616409964777,0.009210955996298571
target_dud,0.04438973054557691,0.07849491179233664,0.03891587458630275,0.027772566688299864,0.02121199813861851,1.0,1.0,1.0,0.9915592190775225,0.03135085431743104,0.5021161792463403,0.032986847051901746,0.012192775886556238,0.015132375784416627,0.036089892022079066,0.01690959787702279,0.06105983713653906,0.22057278286548995,0.01654357628975816,0.11494121561070167,0.1127591643983574,9.850136982160472e-05,0.02307923072417321,0.6619408054047757,0.016697610744662496,0.07624575998076721,0.33552257550607034,0.809185168565934,0.31983616409964777,0.009210955996298571
horizon_gap_days,0.0452521952963227,0.0795528790137705,0.03837626383984483,0.028723101696289242,0.021677345307346194,1.0,0.9915592190775225,0.9915592190775225,1.0,0.031088284193555568,0.5003928297672002,0.0329090532734749,0.012012520797253646,0.01511867689766829,0.03745300331496357,0.016792317870493012,0.06135272483403183,0.21806437549192362,0.017673192879875194,0.11422113720231973,0.11205148936866346,0.0008048307647729872,0.022784762088833847,0.6643951550582341,0.01661719472665554,0.07303242249876227,0.33180170196306447,0.8030802806297911,0.3180215396249918,0.009974592308413851
flight_day_of_week,0.034111752655998064,0.010805293971545159,0.044067763099044546,0.010074208230562025,0.010859696368902409,0.08419725052630521,0.03135085431743104,0.03135085431743104,0.031088284193555568,1.0,9.703894947881301e-07,0.0719232668903193,0.009534883756351647,0.011430592701606861,0.043347266435984834,0.008888324637576427,0.0035900434918492105,0.01608389150065593,0.010295576909751252,0.0021346536080699063,0.0015514254781043716,0.07509042479353487,0.043147328162667864,0.014902389423853427,0.009440500103109413,0.00395707921855719,0.002025938408412224,0.01992870594637042,0.004121702061310691,0.0014247115562286698
flight_month,0.08945870168891787,0.0937118684159769,0.1646786959086421,0.057043867390842516,0.06481468564779409,0.5271417923624183,0.5021161792463403,0.5021161792463403,0.5003928297672002,9.703894947881301e-07,1.0,0.22996089915492135,0.002788321919277339,0.06613502782711222,0.14371591911739254,0.0191726941978406,0.09893670868500828,0.24216057491388537,0.03923215727170399,0.046818164960391345,0.03858292527969666,0.007399351166327418,0.12169923749359783,0.17608416076445263,0.018658783356072985,0.15403807477884424,0.15129774409610985,0.11025103408722756,0.03569895538449273,0.0752252659499895
is_peak_period,0.035792967189132746,0.016657167482939314,0.06350229672330726,0.010176212656276554,0.026032146152993228,0.087930560359575,0.032986847051901746,0.032986847051901746,0.0329090532734749,0.0719232668903193,0.22996089915492135,1.0,0.0009064510566201929,0.004917457210235377,0.07183921314984035,0.0021446900716158793,0.002927998814574059,0.033431891571426106,0.013297608277820032,0.01233852633908833,0.035187263281537186,0.011326821944376312,0.010720352491704643,0.05229278010414424,0.0030284106541444067,0.0073776593600904435,0.10165765888394462,0.08092383012732458,0.03961368005325374,0.008419272684036604
departure_time_sin,0.1459918584048981,0.0446597748610013,0.0013523019157122471,0.9231421855692021,0.0027987690419743927,0.012771778669129827,0.012192775886556238,0.012192775886556238,0.012012520797253646,0.009534883756351647,0.002788321919277339,0.0009064510566201929,1.0,0.29462490109409295,0.006599058651157854,0.06875549347252875,0.03478118791842754,0.04219722722553633,0.03939725985574135,0.07209752322907749,0.04894172293718927,0.006498476784366215,0.0002990399123518725,0.0017916709106001666,0.06958010319696578,0.0020268391400176063,0.009994534063194081,0.0014372402858530353,0.0036148383192750513,0.04128045870600316
departure_time_cos,0.2544424502266663,0.046162038189626844,0.020514869974963656,0.836310961935327,0.01268337166006086,0.01713743598925174,0.015132375784416627,0.015132375784416627,0.01511867689766829,0.011430592701606861,0.06613502782711222,0.004917457210235377,0.29462490109409295,1.0,0.14551070399335425,0.3259544188102303,0.18853979429575515,0.1540556896968667,0.18606331770054593,0.24458591082902328,0.3434780231900227,0.0015000070171341687,0.01145411632081843,0.0009538597700688388,0.3224737863270966,0.003976228062484479,0.027682533009400618,0.007700565146875826,0.017011698363175808,0.14141146423342146
log_price_vnd,0.7196664494309364,0.2426947435325788,0.041330551179926754,0.15712231335810203,0.028958776769598658,0.05654825704222339,0.036089892022079066,0.036089892022079066,0.03745300331496357,0.043347266435984834,0.14371591911739254,0.07183921314984035,0.006599058651157854,0.14551070399335425,1.0,0.5198134151193301,0.16941583128145216,0.011604463657451606,0.11997301510706448,0.30037959191671215,0.2477693393443435,0.0765259943434459,0.006568723876444529,0.08703644872042124,0.4576620017349525,0.07904230435978064,0.08943264397705003,0.12845684812170252,0.08630708346027369,0.15995950954189217
current_relative_log,0.08755233068463245,0.5082832521498215,0.007227453908506508,0.25652000914673717,0.0036341374270384853,0.016547558045962512,0.01690959787702279,0.01690959787702279,0.016792317870493012,0.008888324637576427,0.0191726941978406,0.0021446900716158793,0.06875549347252875,0.3259544188102303,0.5198134151193301,1.0,0.0067962503779781264,0.020424371782807964,0.05419387415955244,0.781455706012943,0.6077000639368009,0.031395744023068994,0.0008636224593696019,0.01581753027302182,0.8516029127020921,0.09030003289345478,0.011870627082298975,0.020271806651527228,0.054848250712792035,0.35095116365569407
anchor_support_log1p,0.9532149022060299,0.15228557525004546,0.033109068998806994,0.12257716880840792,0.14729188009135066,0.05462060659587642,0.06105983713653906,0.06105983713653906,0.06135272483403183,0.0035900434918492105,0.09893670868500828,0.002927998814574059,0.03478118791842754,0.18853979429575515,0.16941583128145216,0.0067962503779781264,1.0,0.7580951082658931,0.9436055210164019,0.09334342281624151,0.08842271114124174,0.006310513654766813,0.02084564083299704,0.023229614789393113,0.016126869926615935,0.008042189093514033,0.025706964430522384,0.029771919057827376,0.1285465463325458,0.025755621608754338
competitor_airline_count,0.9036580521344192,0.17482568178171737,0.01486037412693972,0.10510883423691897,0.057892584251916894,0.23807201933734098,0.22057278286548995,0.22057278286548995,0.21806437549192362,0.01608389150065593,0.24216057491388537,0.033431891571426106,0.04219722722553633,0.1540556896968667,0.011604463657451606,0.020424371782807964,0.7580951082658931,1.0,0.7670965159625953,0.2069801980890075,0.1254784011290624,0.00043813567677345724,0.007897192032951706,0.16259429854946447,0.01328513809271213,0.04701297000561747,0.03620776372097424,0.149015195187123,0.016600932785294707,0.0008567667394156819
competitor_offer_count,0.8885278475465231,0.3879076800564439,0.014663074354398304,0.10462882308956395,0.04708321992424331,0.03529172877060701,0.01654357628975816,0.01654357628975816,0.017673192879875194,0.010295576909751252,0.03923215727170399,0.013297608277820032,0.03939725985574135,0.18606331770054593,0.11997301510706448,0.05419387415955244,0.9436055210164019,0.7670965159625953,1.0,0.05843649984572357,0.024663250378945283,0.0016333772767009598,0.008645688980061602,0.005350503176157138,0.04973387394976938,0.010874695808690977,0.02365504718459785,0.011720432848019963,0.06027960974090162,0.02721260424168147
log_current_over_competitor_min,0.3329567579541293,0.5581855910962401,0.009880594466144412,0.19589994294951366,0.028259942134187747,0.12878851073914735,0.11494121561070167,0.11494121561070167,0.11422113720231973,0.0021346536080699063,0.046818164960391345,0.01233852633908833,0.07209752322907749,0.24458591082902328,0.30037959191671215,0.781455706012943,0.09334342281624151,0.2069801980890075,0.05843649984572357,1.0,0.5842491569736303,0.042735817417690385,0.006562745417572548,0.09467957470551795,0.6911671596416088,0.006239073178157464,0.020295289371398056,0.10117146503444893,0.040952006543659714,0.2602076117328339
log_same_airline_alt_over_current,0.19658399330178436,0.18618041701484375,0.029485436172736457,0.25622589085180003,0.023835940994923924,0.12307856245105529,0.1127591643983574,0.1127591643983574,0.11205148936866346,0.0015514254781043716,0.03858292527969666,0.035187263281537186,0.04894172293718927,0.3434780231900227,0.2477693393443435,0.6077000639368009,0.08842271114124174,0.1254784011290624,0.024663250378945283,0.5842491569736303,1.0,0.011247759453992968,0.0030608286565570538,0.132184569466447,0.5215875992406344,0.015343397075200776,0.058557974741883914,0.16078493239261035,0.07872895521542603,0.30200481284118447
prior_market_change_pct_per_day,0.021115175483215717,0.0082885331296984,0.02881080726047251,0.006670816304908896,0.003650764009179632,0.014114784447993576,9.850136982160472e-05,9.850136982160472e-05,0.0008048307647729872,0.07509042479353487,0.007399351166327418,0.011326821944376312,0.006498476784366215,0.0015000070171341687,0.0765259943434459,0.031395744023068994,0.006310513654766813,0.00043813567677345724,0.0016333772767009598,0.042735817417690385,0.011247759453992968,1.0,0.0,0.016015420233235732,0.019328306699364476,0.012579545374609591,0.0464029711472138,0.011030623962647233,0.008158162956335185,0.020266591870805796
has_prior_market_change,0.014752666706152868,0.01981825894770956,0.07450528470241145,0.008143370569905953,0.13365057849792533,0.08196572843791025,0.02307923072417321,0.02307923072417321,0.022784762088833847,0.043147328162667864,0.12169923749359783,0.010720352491704643,0.0002990399123518725,0.01145411632081843,0.006568723876444529,0.0008636224593696019,0.02084564083299704,0.007897192032951706,0.008645688980061602,0.006562745417572548,0.0030608286565570538,0.0,1.0,0.09878625860974409,0.011991226862313612,0.010375562803213985,0.0015366791966693574,0.10678381351701108,0.003494360064989094,0.007158149952022863
relative_history_eligible,0.02430104276414556,0.034090621978258864,0.02006200385554298,0.023453536427669373,0.015669617614655792,0.7367554940339799,0.6619408054047757,0.6619408054047757,0.6643951550582341,0.014902389423853427,0.17608416076445263,0.05229278010414424,0.0017916709106001666,0.0009538597700688388,0.08703644872042124,0.01581753027302182,0.023229614789393113,0.16259429854946447,0.005350503176157138,0.09467957470551795,0.132184569466447,0.016015420233235732,0.09878625860974409,1.0,0.015920460031824256,0.07467146699963367,0.3782670340359536,0.8164766777835456,0.3225328151993003,0.027966788773566672
previous_relative_log,0.09384386381168935,0.5117389645686974,0.0008846828703775589,0.25448159743588267,0.01079678775974771,0.01637859699328085,0.016697610744662496,0.016697610744662496,0.01661719472665554,0.009440500103109413,0.018658783356072985,0.0030284106541444067,0.06958010319696578,0.3224737863270966,0.4576620017349525,0.8516029127020921,0.016126869926615935,0.01328513809271213,0.04973387394976938,0.6911671596416088,0.5215875992406344,0.019328306699364476,0.011991226862313612,0.015920460031824256,1.0,0.07014544591201789,0.011968035119273496,0.02008539493815227,0.06182209871981724,0.44640843641568667
market_shift_log,0.07715065961937835,0.02756577670594221,0.18926078240244815,0.0077082106901327375,0.013185185017113956,0.1340122057398679,0.07624575998076721,0.07624575998076721,0.07303242249876227,0.00395707921855719,0.15403807477884424,0.0073776593600904435,0.0020268391400176063,0.003976228062484479,0.07904230435978064,0.09030003289345478,0.008042189093514033,0.04701297000561747,0.010874695808690977,0.006239073178157464,0.015343397075200776,0.012579545374609591,0.010375562803213985,0.07467146699963367,0.07014544591201789,1.0,0.07799335923349933,0.00862161236288289,0.04947809332881413,0.041869808813281624
relative_lag_age_hours,0.026409075764873276,0.02402430412228612,0.30575263229267513,0.023280458861557295,0.006350440447676209,0.6220999965363716,0.33552257550607034,0.33552257550607034,0.33180170196306447,0.002025938408412224,0.15129774409610985,0.10165765888394462,0.009994534063194081,0.027682533009400618,0.08943264397705003,0.011870627082298975,0.025706964430522384,0.03620776372097424,0.02365504718459785,0.020295289371398056,0.058557974741883914,0.0464029711472138,0.0015366791966693574,0.3782670340359536,0.011968035119273496,0.07799335923349933,1.0,0.4820290543829031,0.23576333409187464,0.04256752010533569
prior_relative_count,0.0426879969045697,0.06382814427322252,0.04261842055315449,0.02712237277656551,0.016572519501517197,0.7951732946039638,0.809185168565934,0.809185168565934,0.8030802806297911,0.01992870594637042,0.11025103408722756,0.08092383012732458,0.0014372402858530353,0.007700565146875826,0.12845684812170252,0.020271806651527228,0.029771919057827376,0.149015195187123,0.011720432848019963,0.10117146503444893,0.16078493239261035,0.011030623962647233,0.10678381351701108,0.8164766777835456,0.02008539493815227,0.00862161236288289,0.4820290543829031,1.0,0.4275810972469174,0.04412494840910396
prior_relative_volatility,0.32784210923008644,0.21019855265989507,0.013752669125430128,0.03492337932938202,0.022993903685976907,0.2850948875220066,0.31983616409964777,0.31983616409964777,0.3180215396249918,0.004121702061310691,0.03569895538449273,0.03961368005325374,0.0036148383192750513,0.017011698363175808,0.08630708346027369,0.054848250712792035,0.1285465463325458,0.016600932785294707,0.06027960974090162,0.040952006543659714,0.07872895521542603,0.008158162956335185,0.003494360064989094,0.3225328151993003,0.06182209871981724,0.04947809332881413,0.23576333409187464,0.4275810972469174,1.0,0.042645130123993666
prior_relative_trend_per_dud_day,0.03991529281797351,0.04756619715940002,0.00548748099300474,0.07940626861742975,0.01390485853103011,0.025341485564698063,0.009210955996298571,0.009210955996298571,0.009974592308413851,0.0014247115562286698,0.0752252659499895,0.008419272684036604,0.04128045870600316,0.14141146423342146,0.15995950954189217,0.35095116365569407,0.025755621608754338,0.0008567667394156819,0.02721260424168147,0.2602076117328339,0.30200481284118447,0.020266591870805796,0.007158149952022863,0.027966788773566672,0.44640843641568667,0.041869808813281624,0.04256752010533569,0.04412494840910396,0.042645130123993666,1.0
