,route,airline,model_session_label,departure_period,prior_anchor_source,query_dud,flight_day_of_week,flight_month,is_peak_period,departure_time_sin,departure_time_cos,prior_anchor_log,prior_anchor_support_log1p,prior_anchor_age_hours,prior_market_change_pct_per_day,has_prior_market_change,prior_competitor_airline_count,prior_competitor_offer_count,prior_route_min_log_price,prior_route_price_spread_log1p,history_support_count,is_first_observation,previous_relative_log,relative_lag_age_hours,prior_relative_volatility,prior_relative_trend_per_dud_day,has_previous_same_schedule,has_prior_relative_volatility,has_prior_relative_trend,template_history_support_count,template_previous_relative_log,template_lag_age_hours,template_prior_relative_volatility,template_prior_relative_trend_per_dud_day,has_previous_schedule_template,has_template_relative_volatility,has_template_relative_trend
route,1.0,0.22247064247239443,0.011144214461562968,0.14960738404133525,0.0,0.04486675220411688,0.02747348778264003,0.08775281695230465,0.033035903493499566,0.14321045520759215,0.24031635761550035,0.7029178609147895,0.4528244494844077,0.06544627539041066,0.019836098693983884,0.011903969983072594,0.8301614259823099,0.9045029912048247,0.8017281842619811,0.2856034235432768,0.0422848231376538,0.015973904868051378,0.08192200106779957,0.027034744419504795,0.29524208578086153,0.0380709353382811,0.015973904868051357,0.021250987290063493,0.023149261197746424,0.10467523009756413,0.09736202530152896,0.020440956872191128,0.4845893919764641,0.05128641082743908,0.0,0.015241289560889786,0.03320956296707778
airline,0.22247064247239443,1.0,0.012166439656341742,0.05956110497838936,0.0,0.05626329629852492,0.009928572570366171,0.08618429306749037,0.021104023442816346,0.046471941750056915,0.04488775186604195,0.2608610179798998,0.35061154461463373,0.061904255987939256,0.010246662643992576,0.019190061861235102,0.16835359697989744,0.13740473406603818,0.11673689389397758,0.0360319765324647,0.05495725079786725,0.021865727525878835,0.5176337444576579,0.017328539785790482,0.17896424475558573,0.03850624470933138,0.021865727525878793,0.024320156118891132,0.021097464573757854,0.1572535005773559,0.6001648779271587,0.03537354509841862,0.260483222417958,0.028351445422785455,0.0,0.03206848027904777,0.028080849999440733
model_session_label,0.011144214461562968,0.012166439656341742,1.0,0.010043287603473018,0.0,0.012906121666538584,0.031099704248813996,0.09738030761138783,0.02722888989657068,0.0005736635448571821,0.01216966639647588,0.00841882521033026,0.04200401087491086,0.12643688073873832,0.07156705514053283,0.08741825575692812,0.014533216931619599,0.013805217628532722,0.03717906772075509,0.021664175702744363,0.010313211531989261,0.09285015753824571,0.003979287722723426,0.2898291156158776,0.03458764575204497,0.007435798856228645,0.09285015753824573,0.015539998104219974,0.0405872174308504,0.0873404731714491,0.00860021581222924,0.025796259623424897,0.04189264885458187,0.013430618992540286,0.0,0.07290939641611363,0.010874598536423932
departure_period,0.14960738404133525,0.05956110497838936,0.010043287603473018,1.0,0.0,0.036330648968732955,0.007753068548929672,0.0635725762127414,0.012182610773685553,0.9227547253906865,0.835345786539841,0.1526737692276418,0.15719323630840346,0.053023624165036205,0.0029308994489070394,0.009515863170537542,0.08938351458333893,0.10958356442853122,0.08108843242249979,0.008060656682449329,0.026787084533677306,0.012691414010090472,0.2439910080348971,0.01703279626064923,0.035173184974805205,0.05578664466514078,0.012691414010090437,0.019089833347421176,0.022179024623977344,0.09973296483941274,0.2905290149546706,0.009239205104948715,0.06281226340724305,0.026568417929377156,0.0,0.004734813349224789,0.01741713643844802
prior_anchor_source,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_dud,0.04486675220411688,0.05626329629852492,0.012906121666538584,0.036330648968732955,0.0,1.0,0.01865480125801063,0.5096847787606011,0.07132213493909699,0.008886936107788948,0.02726682759565269,0.0733070249766593,0.08531630299817511,0.03194180192668684,0.00822324862452679,0.01074492458324855,0.19667033002346837,0.09471140510578761,0.009931204205097393,0.33547987592209294,0.7926822628561059,0.4480192905624734,0.005322170258576654,0.3406368675109433,0.320255547956854,0.009438062419149885,0.4480192905624734,0.595249161952303,0.6286252053921945,0.05764978341120591,0.002062132588096962,0.029669030254673354,0.003975718378854522,0.009722641723321048,0.0,0.006964652752597128,0.019005707090641057
flight_day_of_week,0.02747348778264003,0.009928572570366171,0.031099704248813996,0.007753068548929672,0.0,0.01865480125801063,1.0,0.008080283013494446,0.11532597361576871,0.006523565409164482,0.008405943940013825,0.005298984231019867,0.000994651373691235,0.008435459013322997,0.06131686657331634,0.03415174284319056,0.014561984950545928,0.00475250519874374,0.008636004154254869,0.005196396824457719,0.014385756011048481,0.0016696919258652352,0.005881906890154946,0.01458227548586367,0.0034044720249730583,0.0033501108688960357,0.0016696919258652352,0.005698426312226307,0.0061562388563731,0.0037137974060589816,0.0063261270786278065,0.008159348934955972,0.004561038515456179,0.005770203735354688,0.0,0.02222679832010564,0.007594753756626775
flight_month,0.08775281695230465,0.08618429306749037,0.09738030761138783,0.0635725762127414,0.0,0.5096847787606011,0.008080283013494446,1.0,0.25561317901167907,0.0008208636402119806,0.07519406458432025,0.22823755765175824,0.12218140091645749,0.5573807104669146,0.00919868439883675,0.1310045496629784,0.20882803743788697,0.12914042220485084,0.2427463914291951,0.05361459712252049,0.061476921677249864,0.08917289746085814,0.01802834193183042,0.18562369726359929,0.03424295194302804,0.06854443692308437,0.08917289746085814,0.11140033392617564,0.17623081667463641,0.5185365550589209,0.0062060709644164306,0.5469421460421692,0.2585695140038182,0.09349710698066171,0.0,0.12261659896177958,0.1583452315980104
is_peak_period,0.033035903493499566,0.021104023442816346,0.02722888989657068,0.012182610773685553,0.0,0.07132213493909699,0.11532597361576871,0.25561317901167907,1.0,0.002107362421594146,0.0013539774816129617,0.09666787346856963,0.007353593307089196,0.22406102119269605,0.006103856290474571,0.01786122930188842,0.01841571962023896,0.018575886065267732,0.1150056661213467,0.014260054661333194,0.057891945338608676,0.01065011008441405,0.000657735025634625,0.09300855018622925,0.03455688082522066,0.014326786770704278,0.01065011008441405,0.01434015097007639,0.0029652955849376484,0.16780123614381207,0.022657419263730705,0.22124622668050645,0.06695713879847863,0.03781060489299644,0.0,0.004880634731381866,0.003856097397762114
departure_time_sin,0.14321045520759215,0.046471941750056915,0.0005736635448571821,0.9227547253906865,0.0,0.008886936107788948,0.006523565409164482,0.0008208636402119806,0.002107362421594146,1.0,0.29413571800414584,0.040597138945102175,0.04203136061438826,0.0048101679997415376,0.003242236039609601,0.0006256936221800777,0.04084010047442724,0.03374978025391463,0.033790649239792074,0.0004153433131196474,0.000323129279560946,0.0011639320192394626,0.06365881819853,0.006574509323626048,0.0004387319254477392,0.03814832672257783,0.0011639320192394626,0.0006116687666153292,0.0014022930181339837,0.020295901373765777,0.07406357493419519,0.0018409812155925382,0.0049352107661429015,0.04355015944892143,0.0,0.0023364470488013113,0.001688549269189845
